Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,,Intel,Xeon E5-2643 0,286,70.1,579,https://cpu.userbenchmark.com/SpeedTest/3389/IntelR-XeonR-CPU-E5-2643-0---330GHz
CPU,,Intel,Core i5-3470S,287,70.1,8265,https://cpu.userbenchmark.com/SpeedTest/6387/IntelR-CoreTM-i5-3470S-CPU---290GHz
CPU,,Intel,Core i5-4430,288,70.1,16398,https://cpu.userbenchmark.com/SpeedTest/1920/IntelR-CoreTM-i5-4430-CPU---300GHz
CPU,,Intel,Core i7-7700HQ,289,70,343082,https://cpu.userbenchmark.com/SpeedTest/211019/IntelR-CoreTM-i7-7700HQ-CPU---280GHz
CPU,,Intel,Xeon X3470,290,70,4649,https://cpu.userbenchmark.com/SpeedTest/24530/IntelR-XeonR-CPU-----------X3470----293GHz
CPU,,Intel,Xeon E5-2630 v3,291,69.9,842,https://cpu.userbenchmark.com/SpeedTest/22651/IntelR-XeonR-CPU-E5-2630-v3---240GHz
CPU,BX80662I36320,Intel,Core i3-6320,292,69.8,1201,https://cpu.userbenchmark.com/Intel-Core-i3-6320/Rating/3535
CPU,BX80637I53450S,Intel,Core i5-3450S,293,69.7,1010,https://cpu.userbenchmark.com/SpeedTest/2071/IntelR-CoreTM-i5-3450S-CPU---280GHz
CPU,,Intel,Core i7-7820HQ,294,69.7,8261,https://cpu.userbenchmark.com/SpeedTest/185229/IntelR-CoreTM-i7-7820HQ-CPU---290GHz
CPU,YD150XBBAEBOX,AMD,Ryzen 5 1500X,295,69.6,45077,https://cpu.userbenchmark.com/AMD-Ryzen-5-1500X/Rating/3921
CPU,FD9590FHHKWOF,AMD,FX-9590,296,69.6,22248,https://cpu.userbenchmark.com/AMD-FX-9590/Rating/1812
CPU,BX80647I74900MQ,Intel,Core i7-4900MQ,297,69.6,4183,https://cpu.userbenchmark.com/Intel-Core-i7-4900MQ/Rating/1994
CPU,BX80623I52400,Intel,Core i5-2400,298,69.6,113105,https://cpu.userbenchmark.com/Intel-Core-i5-2400/Rating/803
CPU,,Intel,Core i7-3920XM,299,69.5,557,https://cpu.userbenchmark.com/SpeedTest/5061/IntelR-CoreTM-i7-3920XM-CPU---290GHz
CPU,BX80662I56400,Intel,Core i5-6400,300,69.3,111949,https://cpu.userbenchmark.com/Intel-Core-i5-6400/Rating/3512
CPU,,Intel,Xeon X5570,301,69.2,944,https://cpu.userbenchmark.com/SpeedTest/12230/IntelR-XeonR-CPU-----------X5570----293GHz
CPU,BX80684G5500,Intel,Pentium Gold G5500,302,69.2,576,https://cpu.userbenchmark.com/SpeedTest/484140/IntelR-PentiumR-Gold-G5500-CPU---380GHz
CPU,,Intel,Core i3-7101E,303,69.1,10,https://cpu.userbenchmark.com/SpeedTest/325269/IntelR-CoreTM-i3-7101E-CPU---390GHz
CPU,,Intel,Core i5-2320,304,69.1,23579,https://cpu.userbenchmark.com/SpeedTest/1735/IntelR-CoreTM-i5-2320-CPU---300GHz
CPU,,Intel,Core i5-4460S,305,69,6724,https://cpu.userbenchmark.com/SpeedTest/14679/IntelR-CoreTM-i5-4460S-CPU---290GHz
CPU,YD2200C5FBBOX,AMD,Ryzen 3 2200G,306,69,111704,https://cpu.userbenchmark.com/SpeedTest/441832/AMD-Ryzen-3-2200G-with-Radeon-Vega-Graphics
CPU,BX80621E52670,Intel,Xeon E5-2670,307,68.9,3007,https://cpu.userbenchmark.com/SpeedTest/18501/IntelR-XeonR-CPU-E5-2670-0---260GHz
CPU,,Intel,Core i5-3350P,308,68.8,15967,https://cpu.userbenchmark.com/SpeedTest/3018/IntelR-CoreTM-i5-3350P-CPU---310GHz
CPU,,Intel,Xeon W3565,309,68.8,4640,https://cpu.userbenchmark.com/SpeedTest/6324/IntelR-XeonR-CPU-----------W3565----320GHz
CPU,,Intel,Core i7 960,310,68.7,11729,https://cpu.userbenchmark.com/SpeedTest/778/IntelR-CoreTM-i7-CPU---------960----320GHz
CPU,,Intel,Core i5-3340,311,68.7,5086,https://cpu.userbenchmark.com/SpeedTest/2710/IntelR-CoreTM-i5-3340-CPU---310GHz
CPU,,Intel,Core i7 870,312,68.6,25216,https://cpu.userbenchmark.com/SpeedTest/961/IntelR-CoreTM-i7-CPU---------870----293GHz
CPU,,Intel,Xeon X3460,313,68.6,603,https://cpu.userbenchmark.com/SpeedTest/3739/IntelR-XeonR-CPU-----------X3460----280GHz
CPU,,Intel,Core i7-4910MQ,314,68.5,3798,https://cpu.userbenchmark.com/SpeedTest/9700/IntelR-CoreTM-i7-4910MQ-CPU---290GHz
CPU,,Intel,Core i7-10510U,315,68.5,10037,https://cpu.userbenchmark.com/SpeedTest/891469/IntelR-CoreTM-i7-10510U-CPU---180GHz
CPU,YD2400C5FBBOX,AMD,Ryzen 5 2400G,316,68.3,79136,https://cpu.userbenchmark.com/SpeedTest/433194/AMD-Ryzen-5-2400G-with-Radeon-Vega-Graphics
CPU,BX80677G4620,Intel,Pentium G4620,317,68.3,2487,https://cpu.userbenchmark.com/Intel-Pentium-G4620/Rating/3895
CPU,,Intel,Core i7-1065G7,318,68.2,11255,https://cpu.userbenchmark.com/SpeedTest/888368/IntelR-CoreTM-i7-1065G7-CPU---130GHz
CPU,BX80601950,Intel,Core i7-950,319,68.2,29751,https://cpu.userbenchmark.com/Intel-Core-i7-950/Rating/617
CPU,BX80662I36300,Intel,Core i3-6300,320,68.1,3001,https://cpu.userbenchmark.com/Intel-Core-i3-6300/Rating/3536
CPU,,Intel,Xeon L5639,321,68.1,69,https://cpu.userbenchmark.com/SpeedTest/5958/IntelR-XeonR-CPU-----------L5639----213GHz
CPU,,Intel,Core i7-2600S,322,68,1932,https://cpu.userbenchmark.com/SpeedTest/6489/IntelR-CoreTM-i7-2600S-CPU---280GHz
CPU,,Intel,Core i5-10210U,323,68,9246,https://cpu.userbenchmark.com/SpeedTest/819403/IntelR-CoreTM-i5-10210U-CPU---160GHz
CPU,,Intel,Xeon X3450,324,68,2014,https://cpu.userbenchmark.com/SpeedTest/10439/IntelR-XeonR-CPU-----------X3450----267GHz
CPU,,Intel,Core i7-4960HQ,325,68,218,https://cpu.userbenchmark.com/SpeedTest/9629/IntelR-CoreTM-i7-4960HQ-CPU---260GHz
CPU,,Intel,Core i5-3330,326,67.9,35978,https://cpu.userbenchmark.com/SpeedTest/10/IntelR-CoreTM-i5-3330-CPU---300GHz
CPU,YD130XBBAEBOX,AMD,Ryzen 3 1300X,327,67.9,27672,https://cpu.userbenchmark.com/AMD-Ryzen-3-1300X/Rating/3930
CPU,,Intel,Core i7-3840QM,328,67.9,3457,https://cpu.userbenchmark.com/SpeedTest/2451/IntelR-CoreTM-i7-3840QM-CPU---280GHz
CPU,,Intel,Core i7-4810MQ,329,67.8,18108,https://cpu.userbenchmark.com/SpeedTest/7168/IntelR-CoreTM-i7-4810MQ-CPU---280GHz
CPU,,Intel,Core i7-4700HQ,330,67.8,31463,https://cpu.userbenchmark.com/Intel-Core-i7-4700HQ/Rating/2728
CPU,,Intel,Core i5 760,331,67.8,21312,https://cpu.userbenchmark.com/SpeedTest/717/IntelR-CoreTM-i5-CPU---------760----280GHz
CPU,BX80646I34370,Intel,Core i3-4370,332,67.8,1326,https://cpu.userbenchmark.com/Intel-Core-i3-4370/Rating/2817
CPU,BX80677I37300T,Intel,Core i3-7300T,333,67.7,41,https://cpu.userbenchmark.com/SpeedTest/230231/IntelR-CoreTM-i3-7300T-CPU---350GHz
CPU,,Intel,Xeon W3550,334,67.7,4906,https://cpu.userbenchmark.com/SpeedTest/3628/IntelR-XeonR-CPU-----------W3550----307GHz
CPU,,Intel,Core i5-7300HQ,335,67.7,117142,https://cpu.userbenchmark.com/SpeedTest/223877/IntelR-CoreTM-i5-7300HQ-CPU---250GHz
CPU,,Intel,Xeon X5560,336,67.6,374,https://cpu.userbenchmark.com/SpeedTest/16614/IntelR-XeonR-CPU-----------X5560----280GHz
