Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
RAM,CMK32GX4M4A2400C14B,Corsair,Vengeance LPX DDR4 2400 C14 4x8GB,27,87,2928,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2400-C14-4x8GB/Rating/3542
RAM,CMK32GX4M4A2400C14R,Corsair,Vengeance LPX DDR4 2400 C14 4x8GB,27,87,2928,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2400-C14-4x8GB/Rating/3542
RAM,CMW32GX4M2C3200C16,Corsair,Vengeance RGB PRO DDR4 3200 C16 2x16GB,28,86.8,36547,https://ram.userbenchmark.com/SpeedTest/587593/Corsair-CMW32GX4M2C3200C16-2x16GB
RAM,CMK16GX4M4A2400C14,Corsair,Vengeance LPX DDR4 2400 C14 4x4GB,29,86.8,2027,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2400-C14-4x4GB/Rating/3533
RAM,CMK16GX4M4A2400C14B,Corsair,Vengeance LPX DDR4 2400 C14 4x4GB,29,86.8,2027,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2400-C14-4x4GB/Rating/3533
RAM,CMK16GX4M4A2400C14R,Corsair,Vengeance LPX DDR4 2400 C14 4x4GB,29,86.8,2027,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2400-C14-4x4GB/Rating/3533
RAM,F4-3200C16D-16GTZR,G.SKILL,Trident Z RGB DDR4 3200 C16 2x8GB,30,86.6,131273,https://ram.userbenchmark.com/SpeedTest/231020/GSKILL-F4-3200C16-8GTZR-2x8GB
RAM,CMK16GX4M4A2666C16,Corsair,Vengeance LPX DDR4 2666 C16 4x4GB,31,86.6,4327,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2666-C16-4x4GB/Rating/3557
RAM,CMK16GX4M4A2666C16B,Corsair,Vengeance LPX DDR4 2666 C16 4x4GB,31,86.6,4327,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2666-C16-4x4GB/Rating/3557
RAM,CMK16GX4M4A2666C16R,Corsair,Vengeance LPX DDR4 2666 C16 4x4GB,31,86.6,4327,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2666-C16-4x4GB/Rating/3557
RAM,CMR32GX4M2C3000C15,Corsair,Vengeance RGB DDR4 3000 C15 2x16GB,32,86.3,711,https://ram.userbenchmark.com/SpeedTest/335632/Corsair-CMR32GX4M2C3000C15-2x16GB
RAM,F4-3200C16D-16GVKB,G.SKILL,Ripjaws V DDR4 3200 C16 2x8GB,33,86,120245,https://ram.userbenchmark.com/SpeedTest/89324/GSKILL-F4-3200C16-8GVKB-2x8GB
RAM,F4-3200C16D-16GTZB,G.SKILL,Trident Z DDR4 3200 C16 2x8GB,34,85.8,19354,https://ram.userbenchmark.com/GSKILL-Trident-Z-DDR4-3200-C16-2x8GB/Rating/3550
RAM,CMK16GX4M2D3600C18,Corsair,Vengeance LPX DDR4 3600 C18 2x8GB,35,85.7,12461,https://ram.userbenchmark.com/SpeedTest/808862/Corsair-Vengeance-LPX-CMK16GX4M2D3600C18-2x8GB
RAM,CMU16GX4M2C3200C16,Corsair,Vengeance LED DDR4 3200 C16 2x8GB,36,85.2,26637,https://ram.userbenchmark.com/SpeedTest/155727/Corsair-CMU16GX4M2C3200C16-2x8GB
RAM,CMU16GX4M2C3200C16B,Corsair,Vengeance LED DDR4 3200 C16 2x8GB,36,85.2,26637,https://ram.userbenchmark.com/SpeedTest/155727/Corsair-CMU16GX4M2C3200C16-2x8GB
RAM,CMU16GX4M2C3200C16R,Corsair,Vengeance LED DDR4 3200 C16 2x8GB,36,85.2,26637,https://ram.userbenchmark.com/SpeedTest/155727/Corsair-CMU16GX4M2C3200C16-2x8GB
RAM,CMK32GX4M4A2400C16,Corsair,Vengeance LPX DDR4 2400 C16 4x8GB,37,85.2,1084,https://ram.userbenchmark.com/SpeedTest/108268/Corsair-Vengeance-LPX-CMK32GX4M4A2400C16-4x8GB
RAM,CMK16GX4M2B3200C16,Corsair,Vengeance LPX DDR4 3200 C16 2x8GB,38,85,264286,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-3200-C16-2x8GB/Rating/3547
RAM,CMK16GX4M2B3200C16R,Corsair,Vengeance LPX DDR4 3200 C16 2x8GB,38,85,264286,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-3200-C16-2x8GB/Rating/3547
RAM,CMD16GX4M2B3000C15,Corsair,Dominator DDR4 3000 C15 2x8GB,39,84.3,9802,https://ram.userbenchmark.com/Corsair-Dominator-DDR4-3000-C15-2x8GB/Rating/3597
RAM,HX426C15FBK2/8,HyperX,Fury DDR4 2666 C15 2x4GB,40,84,21204,https://ram.userbenchmark.com/HyperX-Fury-DDR4-2666-C15-2x4GB/Rating/3556
