Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
HDD,,Hitachi,HTS721010A9E6300 1TB,217,57.7,1296,https://hdd.userbenchmark.com/SpeedTest/11219/HGST-HTS721010A9E6300
HDD,,WD,WD3000GLFS-01F8U0 300GB,218,57.7,2526,https://hdd.userbenchmark.com/SpeedTest/1583/WDC-WD3000GLFS-01F8U0
HDD,ST1000DL002,Seagate,Barracuda Green 1TB,219,57.7,10243,https://hdd.userbenchmark.com/SpeedTest/1672/ST1000DL002-9TT153
HDD,ST2000DL001,Seagate,Barracuda Green 2TB,220,57.6,5269,https://hdd.userbenchmark.com/SpeedTest/447/ST2000DL001-9VT156
HDD,,Hitachi,HDS721050CLA660 500GB,221,57.6,10448,https://hdd.userbenchmark.com/SpeedTest/289/Hitachi-HDS721050CLA660
HDD,,Hitachi,HDS721050CLA360 500GB,222,57.6,9748,https://hdd.userbenchmark.com/SpeedTest/3631/Hitachi-HDS721050CLA360
HDD,,Seagate,ST2000DL 004 HD204UI 2TB,223,57.6,136,https://hdd.userbenchmark.com/SpeedTest/7858/ST2000DL-004-HD204UI
HDD,ST2000VX002,Seagate,Surveillance 2TB,224,57.6,463,https://hdd.userbenchmark.com/SpeedTest/11181/ST2000VX002-1AH166
HDD,,Hitachi,HDS72105 500GB,225,57.4,618,https://hdd.userbenchmark.com/SpeedTest/7340/Hitachi-HDS72105
HDD,,WD,WD7500AALX-009BA0 750GB,226,57.2,1753,https://hdd.userbenchmark.com/SpeedTest/5152/WDC-WD7500AALX-009BA0
HDD,WD10EALS,WD,Blue 1TB (2010),227,57.1,7839,https://hdd.userbenchmark.com/WD-Blue-1TB-2010/Rating/1780
HDD,,WD,WD30EZRS-00J99B0 3TB,228,57.1,1807,https://hdd.userbenchmark.com/SpeedTest/3380/WDC-WD30EZRS-00J99B0
HDD,HD204UI,Samsung,Spinpoint F4 2TB,229,57,30112,https://hdd.userbenchmark.com/SpeedTest/324/SAMSUNG-HD204UI
HDD,,WD,WD1001FAES-60Z2A0 1TB,230,57,6481,https://hdd.userbenchmark.com/SpeedTest/3129/WDC-WD1001FAES-60Z2A0
HDD,WD10EALX,WD,Blue 1TB (2010),231,56.9,33763,https://hdd.userbenchmark.com/WD-Blue-1TB-2010/Rating/2023
HDD,ST1000DM000,Seagate,Desktop HDD 1TB (2013),232,56.9,1206,https://hdd.userbenchmark.com/SpeedTest/3274/ST1000DM000-9TS15E
HDD,WD3000HLFS,WD,VelociRaptor 300GB,233,56.6,7209,https://hdd.userbenchmark.com/SpeedTest/1307/WDC-WD3000HLFS-01G6U1
HDD,,Hitachi,HDS721050CLA662 500GB,234,56.5,9012,https://hdd.userbenchmark.com/SpeedTest/1785/Hitachi-HDS721050CLA662
HDD,WD1002FAEX,WD,Black 1TB (2010),235,56.5,165766,https://hdd.userbenchmark.com/WD-Black-1TB-2010/Rating/1580
HDD,,WD,WD6402AAEX-00Z3A0 640GB,236,56.2,4942,https://hdd.userbenchmark.com/SpeedTest/1783/WDC-WD6402AAEX-00Z3A0
HDD,MQ01ABD100H,Toshiba,Notebook SSHD 2.5" 1TB,237,55.7,2194,https://hdd.userbenchmark.com/Toshiba-Notebook-SSHD-25--1TB/Rating/1957
HDD,WD5000AZRX,WD,Green 500GB (2012),238,55.7,22317,https://hdd.userbenchmark.com/SpeedTest/2487/WDC-WD5000AZRX-00A8LB0
HDD,,WD,WD800HLFS-75G6U0 80GB,239,55.6,624,https://hdd.userbenchmark.com/SpeedTest/5888/WDC-WD800HLFS-75G6U0
HDD,,,KingFast 128GB,240,55.6,16,https://hdd.userbenchmark.com/SpeedTest/9927/KingFast
HDD,,WD,WD1500HLFS-01G6U1 150GB,241,55.5,5788,https://hdd.userbenchmark.com/SpeedTest/2890/WDC-WD1500HLFS-01G6U1
HDD,,Hitachi,HDS5C3030ALA630 3TB,242,55.5,1786,https://hdd.userbenchmark.com/SpeedTest/3627/Hitachi-HDS5C3030ALA630
HDD,,Toshiba,MQ01ACF050 500GB,243,55.5,13538,https://hdd.userbenchmark.com/SpeedTest/7527/TOSHIBA-MQ01ACF050
HDD,,Hitachi,HDS72202 2TB,244,55.4,182,https://hdd.userbenchmark.com/SpeedTest/9104/Hitachi-HDS72202
HDD,,WD,WD5002AALX-00J37A0 500GB,245,55.4,8680,https://hdd.userbenchmark.com/SpeedTest/3694/WDC-WD5002AALX-00J37A0
HDD,,Samsung,HD253GJ 250GB,246,55.2,2668,https://hdd.userbenchmark.com/SpeedTest/3770/SAMSUNG-HD253GJ
HDD,ST31500341AS,Seagate,Barracuda 7200.11 1.5TB,247,55.2,32585,https://hdd.userbenchmark.com/SpeedTest/864/ST31500341AS
HDD,,Hitachi,HDS721050CLA362 500GB,248,55.2,31343,https://hdd.userbenchmark.com/SpeedTest/2062/Hitachi-HDS721050CLA362
HDD,,Apple,HDD WDC WD10EALX-408EA0 1TB,249,55.1,269,https://hdd.userbenchmark.com/SpeedTest/6944/APPLE-HDD-WDC-WD10EALX-408EA0
HDD,,Hitachi,HDS721075CLA332 750GB,250,54.8,2395,https://hdd.userbenchmark.com/SpeedTest/5587/Hitachi-HDS721075CLA332
HDD,,Seagate,ST3500411SV 500GB,251,54.8,593,https://hdd.userbenchmark.com/SpeedTest/5943/ST3500411SV
HDD,,Seagate,ST3500410SV 500GB,252,54.6,1162,https://hdd.userbenchmark.com/SpeedTest/1363/ST3500410SV
HDD,ST3500418AS,Seagate,Barracuda 7200.12 500GB,253,54.4,126098,https://hdd.userbenchmark.com/SpeedTest/441/ST3500418AS
HDD,,Seagate,ST3500410AS 500GB,254,54.4,3340,https://hdd.userbenchmark.com/SpeedTest/1333/ST3500410AS
HDD,ST31000524AS,Seagate,Barracuda 7200.12 1TB,255,54.4,237924,https://hdd.userbenchmark.com/Seagate-Barracuda-720012-1TB/Rating/2022
HDD,,Seagate,STM3500418AS 500GB,256,54.4,5722,https://hdd.userbenchmark.com/SpeedTest/2669/STM3500418AS
HDD,,Samsung,HD155UI 1.5TB,257,54.3,1131,https://hdd.userbenchmark.com/SpeedTest/6951/SAMSUNG-HD155UI
HDD,,WD,WD1600HLFS-60G6U2 160GB,258,54.3,2637,https://hdd.userbenchmark.com/SpeedTest/5606/WDC-WD1600HLFS-60G6U2
HDD,WD25EZRX,WD,Green 2.5TB (2011),259,54.2,822,https://hdd.userbenchmark.com/SpeedTest/3574/WDC-WD25EZRX-00MMMB0
HDD,,Seagate,ST31500341AS 1.5TB,260,54.2,83,https://hdd.userbenchmark.com/SpeedTest/6611/Seagate-ST31500341AS
HDD,,WD,WD10EUCX-63YZ1Y0 1TB,261,54.1,552,https://hdd.userbenchmark.com/SpeedTest/2516/WDC-WD10EUCX-63YZ1Y0
